Area_Name,Date,,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Chhattisgarh,9/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,428,1645
Dadra & Nagar Haveli,9/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,3,8
Daman & Diu,9/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,11,24
Delhi,9/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,754,5936
Goa,9/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,67,213
Gujarat,9/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,637,1972,8976
Haryana,9/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,300,1618,5779
Himachal Pradesh,9/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,23,48,153
Jammu & Kashmir,9/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,78,430
Jharkhand,9/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,280,2156
Karnataka,9/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,313,1679,7552
Kerala,9/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,40,423,1329
Lakshadweep,9/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1
Madhya Pradesh,9/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1997,10088
Maharashtra,9/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,693,2803,13589
Manipur,10/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,5,232
Meghalaya,10/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,7,47
Mizoram,10/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,19,25
Nagaland,10/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,7,121
Odisha,10/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,582,1771
Puducherry,10/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,147,418
Punjab,10/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,426,463,1307
Rajasthan,10/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,250,1216,7837
Sikkim,10/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1
Tamil Nadu,10/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2035,2672,3424
Tripura,10/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,15,54
Uttar Pradesh,10/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,209,1702,8419
Uttarakhand,10/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,127,506
West Bengal,10/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,356,2158
Andaman & Nicobar Islands,10/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,8,9
Andhra Pradesh,10/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,659,3625,7244
Arunachal Pradesh,10/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,30,83
Assam,10/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,43,214,1135
Bihar,10/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,118,338,3200
Chandigarh,10/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,199,648
Chhattisgarh,10/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,582,1882
Dadra & Nagar Haveli,10/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,2,10
Daman & Diu,10/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,5,27
Delhi,10/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,438,1164,7843
Goa,10/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,71,310
Gujarat,10/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,918,2445,9821
Haryana,10/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,307,1727,6070
Himachal Pradesh,10/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12,56,129
Jammu & Kashmir,10/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,73,362
Jharkhand,10/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,477,2168
Karnataka,10/31/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,227,2263,9724
Kerala,11/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,24,550,1498
Lakshadweep,11/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1,1
Madhya Pradesh,11/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2027,9826
Maharashtra,11/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1083,3731,14723
Manipur,11/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,5,253
Meghalaya,11/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,7,99
Mizoram,11/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,26,26,33
Nagaland,11/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,9,83
Odisha,11/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,108,571,2081
Puducherry,11/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,77,243,487
Punjab,11/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,215,764,1746
Rajasthan,11/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,374,1507,9787
Sikkim,11/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,NULL,1
Tamil Nadu,11/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2800,3571,4865
Tripura,11/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,24,63
Uttar Pradesh,11/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,212,1718,11181
Uttarakhand,11/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,193,556
West Bengal,11/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,265,477,3034
Andaman & Nicobar Islands,11/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,12,21
Andhra Pradesh,11/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,648,4298,6116
Arunachal Pradesh,11/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,44,133
Assam,11/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,26,126,458
Bihar,11/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,324,3575
Chandigarh,11/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,178,536
Chhattisgarh,11/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,508,1848
Dadra & Nagar Haveli,11/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,8,23
Daman & Diu,11/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,25
Delhi,11/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58,1225,9085
Goa,11/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,125,337
Gujarat,11/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,724,2122,8403
Haryana,12/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,513,2248,8687
Himachal Pradesh,12/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,48,137
Jammu & Kashmir,12/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,94,510
Jharkhand,12/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,27,373,2268
Karnataka,12/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,263,2732,9001
Kerala,12/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,495,1142
Madhya Pradesh,12/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,196,2339,10870
Maharashtra,12/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,932,3791,15126
Manipur,12/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12,12,236
Meghalaya,12/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,21,99
Mizoram,12/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30,30,38
Nagaland,12/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,12,140
Odisha,12/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,673,2250
Puducherry,12/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,156,156,371
Punjab,12/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,390,812,1572
Rajasthan,12/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,791,1715,11199
Sikkim,12/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,4,6
Tamil Nadu,12/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2368,3234,4791
Tripura,12/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,21,43
Uttar Pradesh,12/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,394,1921,13168
Uttarakhand,12/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,203,727
West Bengal,12/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,41,491,3539
Andhra Pradesh,12/23/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,31,124,309
Arunachal Pradesh,12/24/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,6,9
Assam,12/25/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,4,15
Bihar,12/26/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7,43,175
Chandigarh,12/27/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,90,206
Chhattisgarh,12/28/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3,47,105
Dadra & Nagar Haveli,12/29/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,1,2
Delhi,12/30/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,113,1151,4075
Goa,12/31/2001,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2,16,23
Gujarat,1/1/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,36,130,460
Haryana,1/2/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32,457,843
Himachal Pradesh,1/3/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4,60,87
Jammu & Kashmir,1/4/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,55,169
Jharkhand,1/5/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3,7,16
Karnataka,1/6/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,43,183,597
Kerala,1/7/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,17,132,499
Madhya Pradesh,1/8/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,118,289
Maharashtra,1/9/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,466,595,1960
Manipur,1/10/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,1,6
Meghalaya,1/11/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,4,20
Mizoram,1/12/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,5,5
Nagaland,1/13/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,14,64
Odisha,1/14/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,15,43
Puducherry,1/15/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,1,3
Punjab,1/16/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,94,184,502
Rajasthan,1/17/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,11,160,570
Sikkim,1/18/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,2,4
Tamil Nadu,1/19/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,126,197
Uttar Pradesh,1/20/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,18,366,1565
Uttarakhand,1/21/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,31,132
West Bengal,1/22/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,251,499
Andhra Pradesh,1/23/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,117,190
Arunachal Pradesh,1/24/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,2,2
Assam,1/25/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,7,22
Bihar,1/26/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6,57,122
Chandigarh,1/27/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,101,286
Chhattisgarh,1/28/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,45,128
Dadra & Nagar Haveli,1/29/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,1,6
Daman & Diu,1/30/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,3,4
Delhi,1/31/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,102,880,3632
Goa,2/1/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,5,8
Gujarat,2/2/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,29,172,565
Haryana,2/3/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,410,780
Himachal Pradesh,2/4/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,8,41,67
Jammu & Kashmir,2/5/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3,95,308
Jharkhand,2/6/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,43,104
Karnataka,2/7/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32,153,523
Kerala,2/8/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,10,207,623
Madhya Pradesh,2/9/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3,126,318
Maharashtra,2/10/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,68,497,1931
Manipur,2/11/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,4,16
Meghalaya,2/12/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,4,20
Mizoram,2/13/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,11,11
Nagaland,2/14/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,6,50
Odisha,2/15/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4,19,45
Puducherry,2/16/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,4,5
Punjab,2/17/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,171,236,477
Rajasthan,2/18/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,19,178,594
Sikkim,2/19/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,5,5
Tamil Nadu,2/20/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2,120,158
Tripura,2/21/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,1,1
Uttar Pradesh,2/22/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2,440,1385
Uttarakhand,2/23/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,33,97
West Bengal,2/24/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,64,211,586
Andaman & Nicobar Islands,2/25/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,NULL,1
Andhra Pradesh,2/26/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2,127,366
Arunachal Pradesh,2/27/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,1,1
Assam,2/28/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,67,210
Bihar,3/1/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7,32,118
Chandigarh,3/2/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,149,284
Chhattisgarh,3/3/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,45,101
Dadra & Nagar Haveli,3/4/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,4,4
Daman & Diu,3/5/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,1,1
Delhi,3/6/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,184,625,3626
Goa,3/7/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,2,8
Gujarat,3/8/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,52,370,661
Haryana,3/9/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,33,363,784
Himachal Pradesh,3/10/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,48,92
Jammu & Kashmir,3/11/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,2,53,206
Jharkhand,3/12/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,66,191
Karnataka,3/13/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,116,351
Kerala,3/14/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,170,512
Madhya Pradesh,3/15/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,379,714
Maharashtra,3/16/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,170,446,1855
Manipur,3/17/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,7,13
Meghalaya,3/18/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,9,61
Mizoram,3/19/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,20,20
Nagaland,3/20/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,4,15
Odisha,3/21/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4,22,66
Puducherry,3/22/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,NULL,7
Punjab,3/23/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,105,169,457
Rajasthan,3/24/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,23,186,665
Sikkim,3/25/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,3,3
Tamil Nadu,3/26/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,54,109,166
Tripura,3/27/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,1,1
Uttar Pradesh,3/28/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,400,1162
Uttarakhand,3/29/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,34,80
West Bengal,3/30/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,115,168,392
Andhra Pradesh,3/31/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,38,182,414
Arunachal Pradesh,4/1/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,0,0
Assam,4/2/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,52,249
Bihar,4/3/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,32,185
Chandigarh,4/4/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,98,289
Chhattisgarh,4/5/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,22,56
Dadra & Nagar Haveli,4/6/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,2,5
Daman & Diu,4/7/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,1,2
Delhi,4/8/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,178,647,3850
Goa,4/9/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,4,9
Gujarat,4/10/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,46,217,596
Haryana,4/11/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,379,929
Himachal Pradesh,4/12/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,6,45,108
Jammu & Kashmir,4/13/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3,46,179
Jharkhand,4/14/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,43,104
Karnataka,4/15/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,1,203,872
Kerala,4/16/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,208,437
Madhya Pradesh,4/17/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,10,160,484
Maharashtra,4/18/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,44,564,2136
Manipur,4/19/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,0,2
Meghalaya,4/20/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,23,91
Mizoram,4/21/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,0,0
Nagaland,4/22/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,11,10,49
Odisha,4/23/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4,13,21
Puducherry,4/24/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,2,4
Punjab,4/25/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,108,160,440
Rajasthan,4/26/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,13,266,859
Sikkim,4/27/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,3,3
Tamil Nadu,4/28/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,71,95,128
Tripura,4/29/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,4,4
Uttar Pradesh,4/30/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,60,343,1793
Uttarakhand,5/1/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,18,74
West Bengal,5/2/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,104,250
Andhra Pradesh,5/3/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,126,347
Arunachal Pradesh,5/4/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,1,2
Assam,5/5/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,3,72,247
Bihar,5/6/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,21,83
Chandigarh,5/7/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,64,201
Chhattisgarh,5/8/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,0,47,83
Dadra & Nagar Haveli,5/9/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,NULL,3
Daman & Diu,5/10/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,NULL,NULL,4
Delhi,5/11/2002,,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,85,784,3515
